dataset,catalog_entity_id,source_dataset,source_record_id,source_snapshot_date,match_method,match_basis,linked_ispb,linked_cnpj,linked_name,source_registry_id,source_file_url,source_publication_date,catalog_snapshot_date,schema_version
catalog_crosswalk,ispb:01205736,spi_participants,spi:01205736,2026-04-13,exact_ispb,ispb=01205736,01205736,01205736000169,COOPERATIVA DE CRÉDITO SICOOB COSTA DO DESCOBRIMENTO LTDA.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01259518,spi_participants,spi:01259518,2026-04-13,exact_ispb,ispb=01259518,01259518,01259518000107,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIMAIS CENTRO LESTE PAULISTA - SICOOB UNIMAIS CENTRO LESTE PAULISTA,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01286361,spi_participants,spi:01286361,2026-04-13,exact_ispb,ispb=01286361,01286361,01286361000109,UNIPRIME PIONEIRA COOPERATIVA DE CRÉDITO,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01330387,spi_participants,spi:01330387,2026-04-13,exact_ispb,ispb=01330387,01330387,01330387000107,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DE AGRICULTORES E AEROPORTUÁRIOS DO BRASIL - CREHNOR",bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01374196,spi_participants,spi:01374196,2026-04-13,exact_ispb,ispb=01374196,01374196,01374196000147,COOPERATIVA DE CRÉDITO DE SÃO FRANCISCO DE SALES LTDA. - SICOOB CREDISALES,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01389651,spi_participants,spi:01389651,2026-04-13,exact_ispb,ispb=01389651,01389651,01389651000188,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO CATARINENSE SICOOB CREDIPLANALTO SC/RS,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01522368,spi_participants,spi:01522368,2026-04-13,exact_ispb,ispb=01522368,01522368,01522368000182,BANCO BNP PARIBAS BRASIL S.A.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01526924,spi_participants,spi:01526924,2026-04-13,exact_ispb,ispb=01526924,01526924,01526924000199,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED HORIZONTES LTDA - UNICRED HORIZONTES,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01559914,spi_participants,spi:01559914,2026-04-13,exact_ispb,ispb=01559914,01559914,01559914000150,SICOOB AC CREDI - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE E NORDESTE MINEIRO LTDA.,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
catalog_crosswalk,ispb:01572667,spi_participants,spi:01572667,2026-04-13,exact_ispb,ispb=01572667,01572667,01572667000121,COOPERATIVA DE CRÉDITO UNIPRIME SUL,bcb-spi-participants,https://www.bcb.gov.br/content/estabilidadefinanceira/spi/participantes-spi-20260413.csv,2026-04-13,2026-04-13,1.0.0
